mentor_id;name;anwesend;uhrzeit_ankunft;unterschrift_vorhanden;bemerkung
M057;Rania Demir;ja;09:05;nein;kam etwas später
M068;Aylin Bergmann;ja;09:05;ja;
M060;Laura Meyer;ja;09:10;nein;krank gemeldet, Kollegin informiert
M029;Rosemarie Demir;ja;09:00;ja;
M072;Bilal Demir;ja;09:05;ja;
M050;Vivien Arslan;ja;09:00;ja;kam etwas später
M071;Manfred Lange;ja;10:05;nein;musste früher gehen
M004;Ronja Peters;ja;09:00;ja;musste früher gehen
M031;Melek Schuster;ja;09:10;ja;
M033;Elif Berger;ja;09:00;ja;
M062;Enes Becker;ja;09:05;ja;musste früher gehen
M066;Zeynep Aksoy;ja;09:05;ja;
M003;Yasmin Braun;ja;09:20;ja;krank gemeldet, Kollegin informiert
M039;Elif Ozturk;ja;09:20;ja;
M023;Melek Neumann;ja;09:20;ja;krank gemeldet, Kollegin informiert
M013;Hans Andrade;ja;10:05;ja;kam etwas später
M017;Ursula Bergmann;verspätet;09:35;nein;krank gemeldet, Kollegin informiert
M037;Yusuf Winkler;ja;09:35;ja;
M046;Rosemarie Ivanov;ja;09:20;ja;musste früher gehen
M045;Leyla Klein;ja;10:05;ja;krank gemeldet, Kollegin informiert
M047;Paula Hoffman;ja;09:00;nein;
M065;Meryem Klein;ja;09:00;ja;krank gemeldet, Kollegin informiert
M073;Serkan Neumann;ja;09:05;ja;krank gemeldet, Kollegin informiert
M069;Ayse Hoffmann;ja;09:20;nein;musste früher gehen
M061;Talia Dogan ;ja;09:35;ja;
M036;Timur Schuster;ja;09:20;ja;krank gemeldet, Kollegin informiert
M009;Klaus Osei;ja;09:10;ja;musste früher gehen
M067;Noah Weber;ja;09:00;ja;
M035;Moritz Fischer;ja;09:20;ja;musste früher gehen
M063;Greta Haßan;ja;09:00;ja;
M053;Felix Weber;ja;09:35;ja;
M059;Emre Zimmermann;ja;10:05;nein;
M018;Paula Becker;ja;09:00;nein;musste früher gehen
M064;Noah Polat ;ja;09:20;ja;
M048;Sophie Fischer;ja;09:05;ja;
M058;Fatima Winkler;ja;10:05;nein;
M019;Aylin Nowak;ja;09:20;ja;
M043;Sude Hassan;ja;09:05;nein;
M002;Til Berger;ja;09:05;nein;kam etwas später
M040;Ecrin Hassan;ja;09:00;nein;kam etwas später
M006;Nele Petrov;ja;09:35;nein;musste früher gehen
M070;Rania Ahmadi;ja;09:00;nein;
M028;Serkan Kilic;ja;09:10;ja;
M074;Enes Arslan;ja;09:35;ja;musste früher gehen
M056;Karin Kaya;ja;09:10;ja;
M052;Amira Kaya;ja;09:10;ja;musste früher gehen
M055;Simon Osei;verspätet;09:05;nein;
M001;Meryem Lange;ja;09:00;nein;musste früher gehen
M075;Zeynep Weber;ja;09:35;ja;krank gemeldet, Kollegin informiert
M007;Klaus Kowalski;verspätet;09:00;ja;krank gemeldet, Kollegin informiert
M020;Greta Berger;ja;09:20;ja;krank gemeldet, Kollegin informiert
M051;Ingrid Wolf;ja;09:35;nein;
M012;Yasmin Osei;ja;09:10;ja;krank gemeldet, Kollegin informiert
M044;Berkay Schneider;ja;09:05;ja;kam etwas später
M041;Nora Meyer ;ja;09:10;nein;krank gemeldet, Kollegin informiert
M042;Erik Schmidt;ja;09:00;ja;
M011;David Lorenz;ja;10:05;ja;kam etwas später
M014;Moritz Zimmermann;ja;09:20;nein;musste früher gehen
M038;Yusuf Costa;ja;09:00;ja;
M025;Paul Klein;ja;09:00;ja;krank gemeldet, Kollegin informiert
M005;Mustafa Polat ;ja;09:00;ja;krank gemeldet, Kollegin informiert
M022;Enes Klein;ja;09:35;ja;musste früher gehen
M015;Yasmin Koch;ja;09:00;ja;
M999;Petra Lindner;ja;09:00;ja;nicht in Bewerbungsliste erfasst - klären
M998;Karsten Ahrens;ja;09:00;ja;nicht in Bewerbungsliste erfasst - Klärfall ohne Bewerbungseintrag
